sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN04498621	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04498621	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04498621	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04498664	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04498664	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04498855	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04498855	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04498855	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12796999	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797003	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797004	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797006	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797006	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797006	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797009	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797009	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797009	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN12797024	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797024	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797026	erm(T)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797026	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797027	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797030	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797030	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN12797030	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
