sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA116302120	aph(3')-III	Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin	atb
NA	NA	SAMEA116302120	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA116302120	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA116302120	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA116302120	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA117078771	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117078771	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA117117152	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117117152	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA117482015	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117482015	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA117482018	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117482018	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA117482073	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117482073	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA117482073	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
