sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA6100929	NA	NA	atb
NA	NA	SAMEA6658042	NA	NA	atb
NA	NA	SAMN00829139	NA	NA	atb
NA	NA	SAMN02344614	NA	NA	atb
NA	NA	SAMN02344615	NA	NA	atb
NA	NA	SAMN20983295	NA	NA	atb
NA	NA	SAMN26876564	NA	NA	atb
NA	NA	SAMN26876570	NA	NA	atb
NA	NA	SAMN26876605	NA	NA	atb
NA	NA	SAMN38159161	NA	NA	atb
NA	NA	SAMN38159162	NA	NA	atb
NA	NA	SAMN38159163	NA	NA	atb
NA	NA	SAMN38159164	NA	NA	atb
NA	NA	SAMN38159166	NA	NA	atb
NA	NA	SAMN38159167	NA	NA	atb
NA	NA	SAMN41328252	NA	NA	atb
NA	NA	SAMN41330538	NA	NA	atb
NA	NA	SAMN41330562	NA	NA	atb
NA	NA	SAMN41337737	NA	NA	atb
NA	NA	SAMN44238611	NA	NA	atb
NA	NA	SAMN44238612	NA	NA	atb
NA	NA	SAMN45053978	NA	NA	atb
