sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
104csv	salivarius	104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
108cv	salivarius	108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
112csv	salivarius	112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
122csv	salivarius	122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
127cs	salivarius	127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
131as	salivarius	131As-CMPN001x62_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
131as	salivarius	131As-CMPN001x62_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
149as	salivarius	149as	NA	NA	rmarvig
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
155cvs	salivarius	155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
55csv	salivarius	55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
55csv	salivarius	55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMD00793724	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMD00793724	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104138637	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA104138637	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA111346957	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA111346957	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA111506114	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA111506114	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA112824118	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA112824118	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA114276590	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114276590	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114276592	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114276592	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114309597	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114309597	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114321088	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114321088	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114539227	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539227	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA114539251	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539254	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539261	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA114539261	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115092700	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115092700	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA115106832	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115106832	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA115875241	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA115875241	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3712933	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4555980	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4555980	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA4556013	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4556013	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA4655553	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4655553	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390805	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390805	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390816	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390816	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390820	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390820	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390865	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390865	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390865	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390868	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390882	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390886	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390888	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390888	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390888	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390888	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390891	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390894	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390899	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390906	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390909	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390915	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6516818	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6647150	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
