user_genome	classification	species
079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius
079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	gordonii
089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
090Am-CMPN001x54_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001553685
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001556435
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_CQ
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	ilei
100Cs-CMPN001x20_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis_G
103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	cristatus
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp905372335
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	infantis_F
110Av-CMPN001x57_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	vestibularis
