sample_key	GTDB_214	Sample	Resistance gene	Phenotype
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline
113cp	parasanguinis_I	113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline
