sample_key	GTDB_214	Sample	Resistance gene	Phenotype
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin
94cm	oralis	094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
