sample_key	GTDB_214	Sample	Resistance gene	Phenotype
68g	gordonii	68g	NA	NA
106g	gordonii	106g	NA	NA
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
