sample_key	GTDB_214	Sample	Resistance gene	Phenotype
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
92cs	sanguinis	092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
111ps	sanguinis	111ps	NA	NA
120cs	sanguinis	120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
120cs	sanguinis	120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
129cs	sanguinis	129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
129cs	sanguinis	129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline
