genome_id	species
SAMEA111503389	sp001808705
SAMN04477510	sp001808705
SAMN16951220	sp001808705
SAMN04480066	sp001813295
SAMEA104055233	sp900555155
SAMEA104042165	sp900766505
SAMEA104138663	sp900766505
SAMEA111347028	sp900766505
SAMEA114321100	sp900766505
SAMEA114321103	sp900766505
SAMEA5390768	sp900766505
SAMN03197328	sp900766505
SAMN03197329	sp900766505
SAMN36496298	sp900766505
SAMN39987478	sp900766505
SAMN41327546	sp900766505
SAMEA104055286	vestibularis
SAMEA104113812	vestibularis
SAMEA104113813	vestibularis
SAMEA104113814	vestibularis
SAMEA104113815	vestibularis
SAMEA104138627	vestibularis
SAMEA114321082	vestibularis
SAMEA114856755	vestibularis
SAMEA13883080	vestibularis
SAMN03196966	vestibularis
SAMN03196967	vestibularis
SAMN19353707	vestibularis
SAMN26876540	vestibularis
SAMN26876550	vestibularis
SAMEA104113826	xiaochunlingii
SAMEA104113842	xiaochunlingii
SAMEA104151634	xiaochunlingii
SAMEA104151639	xiaochunlingii
SAMEA104151643	xiaochunlingii
SAMEA104151644	xiaochunlingii
SAMEA112653992	xiaochunlingii
SAMEA114321099	xiaochunlingii
SAMEA115092473	xiaochunlingii
SAMEA115106822	xiaochunlingii
SAMEA115606954	xiaochunlingii
SAMEA116302146	xiaochunlingii
SAMEA3353968	xiaochunlingii
SAMEA3882083	xiaochunlingii
SAMN03197128	xiaochunlingii
SAMN03197590	xiaochunlingii
SAMN09631674	xiaochunlingii
SAMN09631675	xiaochunlingii
SAMN09631676	xiaochunlingii
SAMN42334627	xiaochunlingii
