genome_id	species
SAMN03197009	anginosus_C
SAMN03197756	anginosus_C
SAMN04477579	anginosus_C
SAMN04477598	anginosus_C
SAMN04498868	anginosus_C
SAMN12797013	anginosus_C
SAMN16357499	anginosus_C
SAMN20983295	anginosus_C
SAMN26876561	anginosus_C
SAMN26876564	anginosus_C
SAMN26876570	anginosus_C
SAMN26876571	anginosus_C
SAMN26876605	anginosus_C
SAMN26876608	anginosus_C
SAMN38159159	anginosus_C
SAMN38159160	anginosus_C
SAMN38159161	anginosus_C
SAMN38159162	anginosus_C
SAMN38159163	anginosus_C
SAMN38159164	anginosus_C
SAMN38159165	anginosus_C
SAMN38159166	anginosus_C
SAMN38159167	anginosus_C
SAMN38159168	anginosus_C
SAMN38159169	anginosus_C
SAMN41328252	anginosus_C
SAMN41329048	anginosus_C
SAMN41330538	anginosus_C
SAMN41330562	anginosus_C
SAMN41337737	anginosus_C
SAMN42334624	anginosus_C
SAMN44238611	anginosus_C
SAMN44238612	anginosus_C
SAMN45053978	anginosus_C
SAMD00009213	constellatus
SAMD00011649	constellatus
SAMD00016355	constellatus
SAMEA104055223	constellatus
SAMEA104055252	constellatus
SAMEA104138643	constellatus
SAMEA104151627	constellatus
SAMEA104151628	constellatus
SAMEA104151629	constellatus
SAMEA104151631	constellatus
SAMEA104151632	constellatus
SAMEA104151633	constellatus
SAMEA104151645	constellatus
SAMEA104151646	constellatus
SAMEA111505288	constellatus
SAMEA111506111	constellatus
SAMEA3882096	constellatus
SAMEA3882098	constellatus
SAMEA3882157	constellatus
SAMEA3882159	constellatus
SAMEA3882165	constellatus
SAMEA3882166	constellatus
SAMEA4362457	constellatus
SAMEA4362483	constellatus
SAMEA4362490	constellatus
SAMEA4930002	constellatus
SAMEA5390780	constellatus
SAMEA5390783	constellatus
SAMEA6100937	constellatus
SAMEA6657698	constellatus
SAMEA8243636	constellatus
SAMEA9956576	constellatus
SAMN00761792	constellatus
SAMN02344620	constellatus
SAMN03197507	constellatus
SAMN03197994	constellatus
SAMN03198143	constellatus
SAMN03996291	constellatus
SAMN04480386	constellatus
SAMN04495797	constellatus
SAMN16357184	constellatus
SAMN20983296	constellatus
SAMN26876578	constellatus
SAMN26876597	constellatus
SAMN26876598	constellatus
SAMN26876601	constellatus
SAMEA104113816	cristatus
SAMEA104113818	cristatus
SAMEA104113819	cristatus
SAMEA104113820	cristatus
SAMEA104138658	cristatus
SAMEA112143520	cristatus
SAMEA112143522	cristatus
SAMEA112654020	cristatus
SAMEA114552411	cristatus
SAMEA114593531	cristatus
SAMEA114631780	cristatus
SAMEA115606578	cristatus
SAMEA117078776	cristatus
SAMEA2554088	cristatus
SAMEA5192287	cristatus
SAMEA5390761	cristatus
SAMEA5390762	cristatus
SAMN03196976	cristatus
SAMN03196977	cristatus
SAMN09631689	cristatus
SAMN09631690	cristatus
SAMN09631691	cristatus
SAMN11268214	cristatus
SAMN17729918	cristatus
SAMN26876528	cristatus
SAMEA104055290	gordonii
SAMEA104113794	gordonii
SAMEA104138585	gordonii
SAMEA104138586	gordonii
SAMEA104138587	gordonii
SAMEA104138588	gordonii
SAMEA104138593	gordonii
SAMEA104138594	gordonii
SAMEA104138595	gordonii
SAMEA104138596	gordonii
SAMEA104138597	gordonii
SAMEA104138598	gordonii
SAMEA104138599	gordonii
SAMEA104138600	gordonii
SAMEA104138601	gordonii
SAMEA104138602	gordonii
SAMEA104138603	gordonii
SAMEA104138642	gordonii
SAMEA104151673	gordonii
SAMEA10428078	gordonii
SAMEA111504464	gordonii
SAMEA114309600	gordonii
SAMEA115092765	gordonii
SAMEA115092766	gordonii
SAMEA115606566	gordonii
SAMEA3882114	gordonii
SAMEA3919118	gordonii
SAMEA4555965	gordonii
SAMEA4929458	gordonii
SAMEA5192249	gordonii
SAMEA5192250	gordonii
SAMEA5192251	gordonii
SAMEA5192252	gordonii
SAMEA5192253	gordonii
SAMEA5192254	gordonii
SAMEA5192255	gordonii
SAMEA5192256	gordonii
SAMEA5192257	gordonii
SAMEA5192258	gordonii
SAMEA5192259	gordonii
SAMEA5192260	gordonii
SAMEA5192261	gordonii
SAMEA5192262	gordonii
SAMEA5192263	gordonii
SAMEA5192264	gordonii
SAMEA5192265	gordonii
SAMEA5192266	gordonii
SAMEA5390856	gordonii
SAMEA5390902	gordonii
SAMEA5390913	gordonii
SAMEA6657693	gordonii
SAMN03197981	gordonii
SAMN03197998	gordonii
SAMN04395146	gordonii
SAMN04477596	gordonii
SAMN04875583	gordonii
SAMN07312415	gordonii
SAMN09631698	gordonii
SAMN09631700	gordonii
SAMN09631701	gordonii
SAMN09631702	gordonii
SAMN09631705	gordonii
SAMN09631706	gordonii
SAMN09631708	gordonii
SAMN09631709	gordonii
SAMN09631711	gordonii
SAMN09631713	gordonii
SAMN09631714	gordonii
SAMN09631715	gordonii
SAMN16357596	gordonii
SAMN16357597	gordonii
SAMN16951221	gordonii
SAMN20399907	gordonii
SAMN20399908	gordonii
SAMN20399909	gordonii
SAMN20399910	gordonii
SAMN20399911	gordonii
SAMN20399912	gordonii
SAMN20399913	gordonii
SAMN20399915	gordonii
SAMN20399916	gordonii
SAMN20399917	gordonii
SAMN20399918	gordonii
SAMN20399919	gordonii
SAMN20399920	gordonii
SAMN20399921	gordonii
SAMN23168443	gordonii
SAMN23168507	gordonii
SAMN26876562	gordonii
SAMN26876563	gordonii
SAMN26876565	gordonii
SAMN26876579	gordonii
SAMN26876580	gordonii
SAMEA114539163	ilei
SAMEA114539258	ilei
SAMEA3180705	ilei
SAMEA682316	ilei
SAMN15063829	ilei
SAMN41329155	ilei
SAMEA104151606	infantis_F
SAMEA104151607	infantis_F
SAMEA114309592	infantis_F
SAMEA114313529	infantis_F
SAMEA114593663	infantis_F
SAMEA114593803	infantis_F
SAMEA115092757	infantis_F
SAMEA115606555	infantis_F
SAMEA117078652	infantis_F
SAMEA5390841	infantis_F
SAMEA7704692	infantis_F
SAMN03197628	infantis_F
SAMN09874923	infantis_F
SAMN09874925	infantis_F
SAMN13324931	infantis_F
SAMN41438184	infantis_F
SAMEA1022828	mitis_AZ
SAMEA104055294	mitis_AZ
SAMEA110665714	mitis_AZ
SAMEA110665718	mitis_AZ
SAMEA117078732	mitis_AZ
SAMEA1022796	oralis
SAMEA104055234	oralis
SAMEA104055237	oralis
SAMEA104055273	oralis
SAMEA104055283	oralis
SAMEA104055284	oralis
SAMEA104055285	oralis
SAMEA104055292	oralis
SAMEA104113876	oralis
SAMEA104113878	oralis
SAMEA104138607	oralis
SAMEA104138608	oralis
SAMEA104138609	oralis
SAMEA104138611	oralis
SAMEA104138612	oralis
SAMEA104138613	oralis
SAMEA104138615	oralis
SAMEA104138616	oralis
SAMEA104138617	oralis
SAMEA104138621	oralis
SAMEA104138622	oralis
SAMEA104138624	oralis
SAMEA104138626	oralis
SAMEA104138630	oralis
SAMEA104138631	oralis
SAMEA104281749	oralis
SAMEA111506113	oralis
SAMEA112824124	oralis
SAMEA112824125	oralis
SAMEA112824139	oralis
SAMEA112824189	oralis
SAMEA114408483	oralis
SAMEA114538883	oralis
SAMEA115092555	oralis
SAMEA115092688	oralis
SAMEA115106833	oralis
SAMEA115106835	oralis
SAMEA115377353	oralis
SAMEA115606320	oralis
SAMEA115606854	oralis
SAMEA115606947	oralis
SAMEA115606959	oralis
SAMEA115606960	oralis
SAMEA116302120	oralis
SAMEA117078771	oralis
SAMEA117117152	oralis
SAMEA117482000	oralis
SAMEA117482015	oralis
SAMEA117482018	oralis
SAMEA117482070	oralis
SAMEA117482073	oralis
SAMEA117482088	oralis
SAMEA2446227	oralis
SAMEA2674779	oralis
SAMEA2674808	oralis
SAMEA2674809	oralis
SAMEA2783893	oralis
SAMEA3354231	oralis
SAMEA3882086	oralis
SAMEA3882105	oralis
SAMEA4928737	oralis
SAMEA4930320	oralis
SAMEA5390807	oralis
SAMEA5390821	oralis
SAMEA5390844	oralis
SAMEA5390873	oralis
SAMEA5931791	oralis
SAMEA5931811	oralis
SAMEA5936811	oralis
SAMEA6499555	oralis
SAMEA6658224	oralis
SAMN00761853	oralis
SAMN02923991	oralis
SAMN02923992	oralis
SAMN03197175	oralis
SAMN03197399	oralis
SAMN03197467	oralis
SAMN04480466	oralis
SAMN06040900	oralis
SAMN08348294	oralis
SAMN08348305	oralis
SAMN08348319	oralis
SAMN08348324	oralis
SAMN08348327	oralis
SAMN09466950	oralis
SAMN09631742	oralis
SAMN09631750	oralis
SAMN09631756	oralis
SAMN09631760	oralis
SAMN09631785	oralis
SAMN16357189	oralis
SAMN16357244	oralis
SAMN19572113	oralis
SAMN19573350	oralis
SAMN20209571	oralis
SAMN20399934	oralis
SAMN20399935	oralis
SAMN20399936	oralis
SAMN26876541	oralis
SAMN26876558	oralis
SAMN26876594	oralis
SAMN26876599	oralis
SAMN27922023	oralis
SAMN30469940	oralis
SAMN36496261	oralis
SAMN42334641	oralis
SAMEA1022771	oralis_I
SAMEA104113832	oralis_I
SAMEA104113833	oralis_I
SAMEA104151615	oralis_I
SAMEA114321085	oralis_I
SAMEA9956626	oralis_I
SAMEA5083132	oralis_K
SAMEA103953726	oralis_T
SAMEA115377122	oralis_T
SAMEA117078762	oralis_T
SAMEA117078763	oralis_T
SAMEA117078781	oralis_T
SAMEA117078782	oralis_T
SAMEA2051869	oralis_T
SAMEA3173071	oralis_T
SAMEA6507098	oralis_T
SAMEA6507100	oralis_T
SAMEA6507101	oralis_T
SAMN16913245	oralis_T
SAMN31202317	oralis_T
SAMEA104138650	parasanguinis
SAMEA104138654	parasanguinis
SAMEA104138659	parasanguinis
SAMEA104138660	parasanguinis
SAMEA114309588	parasanguinis
SAMEA114313405	parasanguinis
SAMEA114631783	parasanguinis
SAMEA115092497	parasanguinis
SAMEA115092759	parasanguinis
SAMEA2342815	parasanguinis
SAMEA2393084	parasanguinis
SAMEA2674797	parasanguinis
SAMEA3882095	parasanguinis
SAMEA4362445	parasanguinis
SAMEA4362453	parasanguinis
SAMEA4362471	parasanguinis
SAMEA4362475	parasanguinis
SAMEA4362493	parasanguinis
SAMEA4362507	parasanguinis
SAMEA4555989	parasanguinis
SAMEA5379086	parasanguinis
SAMEA5379087	parasanguinis
SAMEA5390758	parasanguinis
SAMEA5390759	parasanguinis
SAMEA5390763	parasanguinis
SAMEA5390765	parasanguinis
SAMEA5390766	parasanguinis
SAMEA5390767	parasanguinis
SAMEA5390776	parasanguinis
SAMEA5390782	parasanguinis
SAMEA5390785	parasanguinis
SAMEA5390798	parasanguinis
SAMEA5390802	parasanguinis
SAMEA5390817	parasanguinis
SAMEA5390819	parasanguinis
SAMEA5390822	parasanguinis
SAMEA5390835	parasanguinis
SAMEA5390846	parasanguinis
SAMEA5390849	parasanguinis
