sample_key	GTDB_214	sample	element_symbol	element_name
148cm	oralis_T	148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
148cm	oralis_T	148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
151cm	oralis_T	151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
151cm	oralis_T	151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
