sample_key	GTDB_214	sample	element_symbol	element_name
68g	gordonii	68g	NA	NA
106g	gordonii	106g	NA	NA
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)
