sample_key	GTDB_214	sample	element_symbol	element_name	source
NA	NA	SAMN19573350	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876558	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876558	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN26876594	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876594	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN26876599	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN26876599	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN27922023	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN30469940	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
NA	NA	SAMN30469940	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN30469940	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMN36496261	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
NA	NA	SAMN36496261	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
NA	NA	SAMEA104055234	NA	NA	atb
NA	NA	SAMEA104055273	NA	NA	atb
NA	NA	SAMEA104055283	NA	NA	atb
NA	NA	SAMEA104055292	NA	NA	atb
NA	NA	SAMEA104113876	NA	NA	atb
NA	NA	SAMEA104113878	NA	NA	atb
NA	NA	SAMEA104138607	NA	NA	atb
NA	NA	SAMEA104138608	NA	NA	atb
NA	NA	SAMEA104138611	NA	NA	atb
NA	NA	SAMEA104138612	NA	NA	atb
NA	NA	SAMEA104138621	NA	NA	atb
NA	NA	SAMEA104138626	NA	NA	atb
NA	NA	SAMEA104138630	NA	NA	atb
NA	NA	SAMEA104138631	NA	NA	atb
NA	NA	SAMEA112824139	NA	NA	atb
NA	NA	SAMEA115092555	NA	NA	atb
NA	NA	SAMEA115606854	NA	NA	atb
NA	NA	SAMEA115606947	NA	NA	atb
NA	NA	SAMEA117482000	NA	NA	atb
NA	NA	SAMEA117482070	NA	NA	atb
NA	NA	SAMEA2674779	NA	NA	atb
NA	NA	SAMEA2783893	NA	NA	atb
